Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
Mazda,Urban,May,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability
Honda,Urban,Sep,4,Male,Single,32,Policy Holder,Sport - Collision,Sport,more than 69000,1,8,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Toyota,Urban,Sep,4,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,Collision
Honda,Urban,May,4,Male,Single,19,Third Party,Sport - Collision,Sport,more than 69000,0,4,400,2,more than 30,more than 30,1,5 years,21 to 25,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Sep,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision
Chevrolet,Urban,Sep,4,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,15,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Oct,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Toyota,Rural,Dec,4,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,1,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Dec,4,Male,Single,39,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,3,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils
Chevrolet,Urban,Dec,5,Male,Married,43,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,6,400,4,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Oct,1,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Dec,3,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Dec,1,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,Internal,1 to 2,no change,1 vehicle,Liability
Honda,Urban,Nov,3,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,All Perils
Chevrolet,Urban,Sep,3,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
VW,Urban,Oct,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,14,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Aug,5,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils
Honda,Urban,May,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Rural,Oct,1,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,16,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Jun,1,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils
Mazda,Urban,Oct,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Jan,2,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability
Toyota,Urban,Jan,3,Female,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Mazda,Rural,Dec,3,Male,Married,59,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision
Chevrolet,Urban,Sep,4,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,9,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Mazda,Urban,Nov,2,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Toyota,Urban,Oct,4,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,16,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Oct,4,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,4,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Urban,Oct,2,Female,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6,500,4,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,Collision
Honda,Urban,Oct,3,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Rural,Oct,1,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,Oct,1,Female,Married,55,Third Party,Sedan - All Perils,Sedan,less than 20000,0,4,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils
Chevrolet,Rural,Jun,4,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9,700,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Oct,1,Male,Single,22,Third Party,Sedan - All Perils,Sedan,less than 20000,0,5,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,May,1,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,0,14,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability
Mazda,Urban,May,2,Male,Married,57,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision
Toyota,Urban,May,1,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Oct,2,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability
Mazda,Urban,Oct,2,Male,Married,43,Policy Holder,Sport - Collision,Sport,more than 69000,0,2,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,May,5,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Chevrolet,Urban,Sep,4,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,3 to 4,All Perils
Pontiac,Urban,Dec,5,Male,Single,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,6,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,Liability
Toyota,Urban,Oct,1,Female,Married,52,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15,400,3,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Sep,4,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,10,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Honda,Urban,Jan,4,Female,Single,72,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,more than 5,no change,1 vehicle,Collision
Mazda,Urban,Jan,4,Male,Married,40,Third Party,Sedan - Liability,Sport,30000 to 39000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Mazda,Urban,Jun,2,Male,Single,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Apr,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,16,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Jan,2,Male,Married,57,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,All Perils
Accura,Urban,Jan,2,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision
Chevrolet,Urban,Oct,1,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Chevrolet,Urban,Nov,4,Female,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Dodge,Urban,May,5,Female,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils
Toyota,Rural,Jun,3,Male,Single,18,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,1,2 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,All Perils
Honda,Urban,Jun,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Saab,Urban,Jul,1,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision
Saab,Urban,Jun,4,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils
Honda,Urban,Oct,1,Male,Single,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Mazda,Urban,Nov,2,Male,Married,56,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Sep,5,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,2,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils
Toyota,Urban,Dec,5,Male,Single,18,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,2,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,All Perils
Mazda,Urban,Jan,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,10,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,Dec,2,Male,Married,55,Third Party,Sedan - Collision,Sedan,less than 20000,0,6,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Mazda,Urban,Dec,4,Male,Married,56,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2,700,1,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Jul,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,more than 69000,0,6,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Honda,Urban,Oct,1,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,3,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Mazda,Urban,Jul,5,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils
Mazda,Urban,Jul,2,Male,Married,56,Policy Holder,Sedan - Liability,Sport,less than 20000,0,15,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Liability
Toyota,Rural,Nov,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision
Accura,Urban,Dec,5,Female,Single,37,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,14,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,Collision
Chevrolet,Urban,Dec,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Pontiac,Urban,Mar,5,Male,Married,57,Third Party,Sedan - Liability,Sport,30000 to 39000,0,16,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Liability
Toyota,Urban,Nov,4,Female,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Urban,Oct,4,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Toyota,Urban,Oct,1,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Aug,3,Male,Married,31,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability
Toyota,Urban,Aug,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,Collision
Accura,Urban,Dec,1,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils
Ford,Urban,Sep,4,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,11,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils
Toyota,Urban,Jan,3,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,500,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,Liability
Toyota,Urban,Aug,4,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,13,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Aug,2,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,7,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,All Perils
Honda,Urban,Aug,2,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils
Chevrolet,Urban,May,4,Male,Married,38,Third Party,Sedan - Collision,Sedan,more than 69000,0,4,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Pontiac,Urban,May,4,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Toyota,Urban,Oct,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability
Mazda,Urban,Mar,3,Male,Single,35,Third Party,Sport - Collision,Sport,more than 69000,0,4,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,Nov,3,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Saturn,Urban,Aug,4,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Accura,Urban,Oct,2,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,6,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Oct,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,May,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability
Pontiac,Rural,May,3,Male,Married,44,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision
Ford,Urban,Oct,1,Male,Married,46,Policy Holder,Utility - All Perils,Utility,30000 to 39000,0,16,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Sep,4,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2,700,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability
Ford,Rural,Sep,2,Male,Single,31,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils
Mazda,Urban,Oct,2,Male,Married,33,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision
Mazda,Urban,Jan,3,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,Collision
Chevrolet,Urban,Jan,4,Female,Single,53,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Chevrolet,Urban,May,4,Male,Married,44,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,Collision
Pontiac,Urban,May,4,Female,Married,48,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision
Mazda,Urban,May,5,Male,Married,48,Policy Holder,Utility - All Perils,Utility,more than 69000,0,8,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils
Pontiac,Urban,May,5,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability
Pontiac,Urban,Jul,2,Female,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability
Toyota,Urban,Sep,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,2,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision
Honda,Urban,Oct,1,Female,Single,43,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14,400,3,more than 30,more than 30,2 to 4,new,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Mazda,Urban,Oct,1,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils
Mazda,Urban,Sep,5,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils
Toyota,Urban,Oct,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Chevrolet,Urban,Oct,3,Male,Married,59,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,7,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Oct,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,16,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability
Toyota,Urban,Oct,1,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils
Pontiac,Urban,Sep,5,Male,Married,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,5,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision
Honda,Urban,Jun,2,Male,Married,64,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Liability
Mazda,Urban,Jun,2,Female,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,4,more than 30,more than 30,2 to 4,3 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision
Pontiac,Urban,Jun,2,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision
Accura,Urban,Jun,2,Male,Single,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,Liability
Chevrolet,Urban,May,4,Male,Single,52,Third Party,Sedan - Liability,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability
Pontiac,Urban,Jan,4,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Liability
Mazda,Urban,Jan,5,Female,Single,37,Third Party,Sedan - All Perils,Sedan,more than 69000,0,3,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,All Perils
Honda,Urban,Sep,5,Female,Married,62,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,3,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,All Perils
Toyota,Urban,Dec,4,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
Mazda,Urban,Nov,1,Female,Married,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,All Perils
Honda,Rural,Oct,2,Male,Married,54,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,All Perils
Pontiac,Urban,Sep,4,Male,Married,63,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,12,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils
Pontiac,Urban,Sep,2,Female,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,3,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability
Honda,Urban,Sep,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils
Mazda,Urban,Jul,2,Male,Single,27,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability
